,path,source_text,pred_text,ref_text,ASR_BLEU
0,common_voice_es_18308858.mp3,no lo he visto ,i havent seen it,i havent seen him,BLEU = 59.46 75.0/66.7/50.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
1,common_voice_es_18308859.mp3,te veo muy arreglada  ¿ has quedado con alguien ,you look very like one standing do you have a date with someone,i see you very well dressed are you going to see anyone,BLEU = 4.07 23.1/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
2,common_voice_es_18308860.mp3,¡ por tu culpa  está en peligro la seguridad del universo entero ,portcullis are frequently free,because of you the entire security of our universe is in danger,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 4 ref_len = 12)
3,common_voice_es_18308861.mp3,porque nos quiere  julia ,because he loves us julia,because he loves us julia,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
4,common_voice_es_18308862.mp3,y estás a millas y millas de tu bonita y tibia cama ,you were miles and miles from your cozy and to bed,and you are miles and miles away from your pretty and warm bed,BLEU = 16.45 72.7/30.0/11.1/6.2 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
5,common_voice_es_18309343.mp3,no tengo ninguna prisa,i have no one here,im not in a hurry,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
6,common_voice_es_18309344.mp3,sale de la galería ¡burro,get off to the gullet i whine,get out of the gallery you donkey,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
7,common_voice_es_18309347.mp3,a ver  palomares  yo creo que lo de ser cura no es,lets see pallamarus i think being a priest is not,lets see palomares i think that being a priest its not,BLEU = 21.48 80.0/44.4/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
8,common_voice_es_18309351.mp3,ricardo  haz el favor  sube al puente de mando,ricardo do me a favor go to the bridge,ricardo do me a favor go to the control bridge,BLEU = 79.56 100.0/87.5/85.7/83.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
9,common_voice_es_18309354.mp3,lloraba sus celos moriscos y sus amores con la blanca luna de la alpujarra ,he cried at his loves and his loves with the white lady of the harp,mourned over the moorish jealousy and loves with the white moon of the alpujarra,BLEU = 20.33 46.7/28.6/15.4/8.3 (BP = 1.000 ratio = 1.071 hyp_len = 15 ref_len = 14)
