,Unnamed: 0,path,source_text,pred_text,ref_text,ASR_BLEU,COMET,METEOR,BLASER
0,0,common_voice_es_18308858.mp3,no lo he visto ,i havent seen it,i havent seen him,BLEU = 59.46 75.0/66.7/50.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.8754082322120667,0.7361111111111112,3.956127166748047
1,1,common_voice_es_18308859.mp3,te veo muy arreglada  ¿ has quedado con alguien ,you look very like one standing do you have a date with someone,i see you very well dressed are you going to see anyone,BLEU = 4.07 23.1/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12),0.5191873908042908,0.2892561983471075,3.753431558609009
2,2,common_voice_es_18308860.mp3,¡ por tu culpa  está en peligro la seguridad del universo entero ,portcullis are frequently free,because of you the entire security of our universe is in danger,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 4 ref_len = 12),0.33459922671318054,0.0,2.509587526321411
3,3,common_voice_es_18308861.mp3,porque nos quiere  julia ,because he loves us julia,because he loves us julia,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),0.9876909852027893,0.996,4.4877095222473145
4,4,common_voice_es_18308862.mp3,y estás a millas y millas de tu bonita y tibia cama ,you were miles and miles from your cozy and to bed,and you are miles and miles away from your pretty and warm bed,BLEU = 16.45 72.7/30.0/11.1/6.2 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13),0.740115225315094,0.5487060546875001,3.392690896987915
5,5,common_voice_es_18309343.mp3,no tengo ninguna prisa,i have no one here,im not in a hurry,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),0.4915024936199188,0.0,3.41617488861084
6,6,common_voice_es_18309344.mp3,sale de la galería ¡burro,get off to the gullet i whine,get out of the gallery you donkey,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.40294691920280457,0.14285714285714285,2.7903788089752197
7,7,common_voice_es_18309347.mp3,a ver  palomares  yo creo que lo de ser cura no es,lets see pallamarus i think being a priest is not,lets see palomares i think that being a priest its not,BLEU = 21.48 80.0/44.4/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11),0.7517362236976624,0.6880733944954129,3.4469926357269287
8,8,common_voice_es_18309351.mp3,ricardo  haz el favor  sube al puente de mando,ricardo do me a favor go to the bridge,ricardo do me a favor go to the control bridge,BLEU = 79.56 100.0/87.5/85.7/83.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10),0.882199764251709,0.9041027559546079,4.028541088104248
9,9,common_voice_es_18309354.mp3,lloraba sus celos moriscos y sus amores con la blanca luna de la alpujarra ,he cried at his loves and his loves with the white lady of the harp,mourned over the moorish jealousy and loves with the white moon of the alpujarra,BLEU = 20.33 46.7/28.6/15.4/8.3 (BP = 1.000 ratio = 1.071 hyp_len = 15 ref_len = 14),0.42824089527130127,0.47691416992328844,3.0426886081695557
10,10,common_voice_es_18309699.mp3,a ese grupo de amigos les gusta comer helados por la tarde,his friends are likely mooed by the late,that group of friends likes to eat ice creams in the afternoon,BLEU = 3.98 25.0/7.1/4.2/2.5 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12),0.3466742932796478,0.1293103448275862,2.9512927532196045
11,11,common_voice_es_18309702.mp3,a mi profesora le importa demasiado la gramática y muy poco el contenido,the professor approached the dramatist in very little content,my teacher cares too much about grammar and too little about content,BLEU = 4.06 22.2/6.2/3.6/2.1 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12),0.4774615466594696,0.08547008547008547,3.3558881282806396
12,12,common_voice_es_18309705.mp3,a decir verdad  eres demasiado genial ,seems to be true,actually you are too cool,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5),0.5930134654045105,0.0,3.1300048828125
13,13,common_voice_es_18309709.mp3,a media conferencia ya pesaba higos,conferences had to miss,everyone was already bored at the middle of the conference,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 4 ref_len = 10),0.4077838361263275,0.05319148936170213,3.0126023292541504
14,14,common_voice_es_18309711.mp3,a mal tiempo buena cara,lets be in earnest,keep your chin up,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.4457481801509857,0.0,2.5957353115081787
15,15,common_voice_es_18309899.mp3,a buen entendedor pocas palabras bastan,good coming from few words,a word to the wise is enough,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7),0.5053470730781555,0.07352941176470587,3.305025577545166
16,16,common_voice_es_18309900.mp3,a mi me gustan mucho los perros,many like dogs,i dont like dogs so much,BLEU = 20.25 66.7/50.0/50.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6),0.7131132483482361,0.3289473684210526,3.5242228507995605
17,17,common_voice_es_18309901.mp3,a dineros pagados brazos cruzados,some blast white arms,paid money arms crossed,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.4395305812358856,0.125,2.950378179550171
18,18,common_voice_es_18310103.mp3, la dalila  continuaba anclada bajo el castillo de ulua ,let elisa was still anchored under the castle of yule,dalila continued anchored under the ulua castle,BLEU = 16.78 40.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7),0.7303596138954163,0.5136986301369862,3.4193124771118164
19,19,common_voice_es_18310105.mp3,a caballo regalado no le mires el dentado,it takes the horses,dont look a gift horse in the mouth,BLEU = 5.88 25.0/16.7/12.5/12.5 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8),0.39480942487716675,0.13157894736842105,2.449923515319824
20,20,common_voice_es_18310110.mp3,a dios rogando y con el mazo dando,got strong and with a start,god helps those who help themselves,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),0.365424245595932,0.0,2.679192066192627
21,21,common_voice_es_18310112.mp3,a mala cama colchón de vino,lets have it in wine,a glass of wine will improve your night,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8),0.4826965630054474,0.06493506493506494,2.4979755878448486
22,22,common_voice_es_18311006.mp3,memoria selectiva para recordar lo bueno prudencia lógica para no arruinar el presente,maria elective memories to remarkable products to that region,selective memory to remember good things logic and prudence to not ruin the present,BLEU = 3.25 22.2/6.2/3.6/2.1 (BP = 0.574 ratio = 0.643 hyp_len = 9 ref_len = 14),0.4409310817718506,0.18930041152263377,2.5161142349243164
23,23,common_voice_es_18311008.mp3,quizás no somos muchos pero tenemos muchas ganas de trabajar,you were not there but we have a bit of work,we may not be many but we really want to work,BLEU = 8.91 36.4/10.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),0.5794292092323303,0.3381818181818182,3.1079213619232178
24,24,common_voice_es_18311009.mp3,bueno  he de seguir reparando mi nave ,well i have to take in my ship,well i have to continue repairing my ship,BLEU = 41.11 75.0/57.1/33.3/20.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.6362952589988708,0.7361111111111112,3.4284121990203857
25,25,common_voice_es_18311010.mp3,me gustas con este slip tan reluciente,like this is like this,i like you with this slip so shiny,BLEU = 6.97 40.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8),0.3695221245288849,0.12987012987012989,2.3570613861083984
26,26,common_voice_es_18311272.mp3,una declaración de principios es exigible en este caso,apprehensive principles is exigible in this case,in this case a statement of principles is enforceable,BLEU = 23.10 71.4/50.0/20.0/12.5 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9),0.5827720761299133,0.5499999999999999,3.709620475769043
27,27,common_voice_es_18311273.mp3,haciendo la maleta siempre se me olvida algo,makes a fire always mind something,i always forget about something when i pack my bags,BLEU = 4.96 33.3/10.0/6.2/4.2 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10),0.31999632716178894,0.10416666666666666,2.7509615421295166
28,28,common_voice_es_18311275.mp3,a lo mejor es una especie nueva  porque no la encuentro,may be a new species because it is not found,probably a new species because i cant find it,BLEU = 27.78 50.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9),0.8387503027915955,0.618131868131868,4.0757317543029785
29,29,common_voice_es_18311276.mp3,buscándose en la oscuridad de la noche bajo el aguacero ,in the darkness of the night under the storm,looking each other in the darkness of the night under the rain,BLEU = 61.86 88.9/87.5/85.7/83.3 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12),0.787398099899292,0.6830929487179487,3.751710891723633
30,30,common_voice_es_18312162.mp3,bueno  debo regresar a reparar mi nave ,well i must return to my ship,well i need to go back to repair my ship,BLEU = 12.79 71.4/33.3/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10),0.8596645593643188,0.4597938144329897,3.9323527812957764
31,31,common_voice_es_18312163.mp3,arriba  usa las piernas ,come on use your legs,up use your legs,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4),0.8377396464347839,0.7181571815718157,4.005127906799316
32,32,common_voice_es_18312165.mp3,al perro y al gato no les pongas en el mismo plato,and the silver ones to do the same,do not put the dog and cat in the same plate,BLEU = 9.55 62.5/14.3/8.3/5.0 (BP = 0.687 ratio = 0.727 hyp_len = 8 ref_len = 11),0.4055440127849579,0.34766355140186916,2.5458784103393555
33,33,common_voice_es_18312166.mp3,antes que acabes no te alabes,for works dont give you anything,dont count your chickens before they hatch,BLEU = 6.87 16.7/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),0.3374721109867096,0.07246376811594203,2.8238351345062256
34,34,common_voice_es_18312751.mp3,cuando termina la vida de la escuela comienza la escuela de la vida,in the life of the school they starts a life,when schooling ends the schooling of life begins,BLEU = 5.52 30.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8),0.5580390691757202,0.4536585365853659,3.5116891860961914
35,35,common_voice_es_18312752.mp3,dice que quiere adelgazar antes del verano,she says that he will have to look for a member,he says he wants to get thinner before the summer,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10),0.45945408940315247,0.19801980198019806,2.9680280685424805
36,36,common_voice_es_18312753.mp3,ulises  lanzarnos al mar es como ,ulysses jumping to the sea is like,ulises throwing ourselves into the sea is like,BLEU = 35.64 57.1/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8),0.6200990080833435,0.5023734177215189,4.029362678527832
37,37,common_voice_es_18312755.mp3,uh  reunión aplazada  ¿ ey  le echarás un vistazo a todos esos regalos ,oh you are the doctor i have been disturbing you,uh postponed meeting hey will you take a look at all these gifts,BLEU = 3.11 10.0/5.6/3.1/1.8 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13),0.43305259943008423,0.07874015748031496,2.0809671878814697
38,38,common_voice_es_18312756.mp3,de tal palo tal astilla,from the popular pill,like father like son,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.4262477457523346,0.0,2.9973037242889404
39,39,common_voice_es_18312921.mp3,a cada cerdo le llega su san martín,martins saving reason that hasnt gone,what goes around comes around,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),0.3670441210269928,0.0,2.418323040008545
40,40,common_voice_es_18312934.mp3,a falta de hombres buenos a mi padre hicieron alcalde,half a loaf is my favourite,in the absence of good men my father was turned to mayor,BLEU = 2.99 16.7/10.0/6.2/4.2 (BP = 0.368 ratio = 0.500 hyp_len = 6 ref_len = 12),0.35328033566474915,0.043859649122807015,2.4942290782928467
41,41,common_voice_es_18312935.mp3, la dalila  quizá permanezca en el puerto ,the vallela makes the port,la dalia maybe she remains in the harbor,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8),0.499519020318985,0.06493506493506494,3.0212275981903076
42,42,common_voice_es_18319513.mp3,adiós ¡cara bonita,it is carbonic,bye beautiful face,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),0.36143866181373596,0.0,2.386962652206421
43,43,common_voice_es_18319514.mp3,tranquilos  saben hacer su trabajo ,come down know his work,calm down they know their business,BLEU = 10.40 40.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),0.5900991559028625,0.1694915254237288,3.387838840484619
44,44,common_voice_es_18319515.mp3,sumergíase en la niebla del pasado y saboreaba el placer de los recuerdos ,immersed in the fog of the past and was overwhelming,plunged into the fog of the past and savored the pleasure of memories,BLEU = 38.30 60.0/55.6/50.0/42.9 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13),0.6839317679405212,0.33573928258967634,3.552396297454834
45,45,common_voice_es_18319762.mp3,las he encontrado en el bolsillo de tu chaqueta ,he was buried in two weeks,i found them in your jackets pocket,BLEU = 6.87 16.7/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),0.29644879698753357,0.07246376811594203,2.7089288234710693
46,46,common_voice_es_18319763.mp3,gato con guantes no caza ratones,cat with great bridge,you have to get your hands dirty,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7),0.33616095781326294,0.0,2.551865577697754
47,47,common_voice_es_18319764.mp3,pero sabes que él siempre tendrá un lugar de especial para ti ,but you know that they will always have a special place for you,but you know he will always have an special place for you,BLEU = 35.74 76.9/58.3/36.4/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12),0.9254586100578308,0.815289256198347,4.756420135498047
