,Unnamed: 0,path,source_text,pred_text,ref_text,ASR_BLEU,COMET,METEOR,BLASER
0,0,common_voice_es_19654267.mp3,sus partes superiores son principalmente negras y sus partes inferiores principalmente blancas,theyre a parsa maniac and theyre a parsa maniac,its upper parts are mainly black and its lower parts are mainly white,BLEU = 3.06 11.1/6.2/3.6/2.1 (BP = 0.641 ratio = 0.692 hyp_len = 9 ref_len = 13),0.2886909544467926,0.03968253968253969,2.055833339691162
1,1,common_voice_es_18324583.mp3,date prisa o perderemos el avión,we have a prison where we ask for the place,hurry up or well miss the plane,BLEU = 4.20 10.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7),0.36564522981643677,0.0684931506849315,2.072549343109131
2,2,common_voice_es_18491550.mp3,¡ bien ¡ se fue  ya es historia,well it was there is history,alright its done its now history,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),0.6371631026268005,0.16666666666666666,3.604095220565796
3,3,common_voice_es_19136093.mp3,lleva el nombre de umar ibn aljattab el segundo califa del islam,it is called the name of umarabellah the second caliph of islam,it bears the name of the second caliph of the islam umar ibn al jattab,BLEU = 25.43 75.0/45.5/30.0/11.1 (BP = 0.779 ratio = 0.800 hyp_len = 12 ref_len = 15),0.7903980612754822,0.5215419501133786,4.261069297790527
4,4,common_voice_es_19749676.mp3,se caracteriza por ser reductor,he is characterized by being a doctor,it is characterized for been a reducer,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.5491504073143005,0.3650793650793651,3.5747931003570557
5,5,common_voice_es_19689078.mp3,educada en europa comenzó su carrera en italia,educated in europe he started his career in italy,she studied in europe and started her professional career in italy,BLEU = 18.70 66.7/37.5/14.3/8.3 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11),0.8224331140518188,0.5208333333333333,4.694151878356934
6,6,common_voice_es_19755215.mp3,se encuentra en belice,hes located in bellies,it is in belize,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.5283482074737549,0.125,3.334146738052368
7,7,common_voice_es_19633792.mp3,al conjunto se le denomina casco de la hacienda,shes called cassandra,the set is named the helmet of the farm,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 3 ref_len = 9),0.4805043041706085,0.05952380952380952,2.849976062774658
8,8,common_voice_es_19663588.mp3,nombre griego hermópolis parva,ambergris and hermopolis parva,greek name hermopolis parva,BLEU = 31.95 50.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.6010500192642212,0.46875,3.770148515701294
9,9,common_voice_es_19614545.mp3,con la selección faraónica ha ganado dos copas de áfrica,the frolic selection he has won taffrails,with the national pharaoh team he managed to win twice the african champions cup,BLEU = 2.87 28.6/8.3/5.0/3.1 (BP = 0.368 ratio = 0.500 hyp_len = 7 ref_len = 14),0.37221232056617737,0.11278195488721805,2.8513357639312744
